torneo,id_partido,fecha,fase,grupo,equipo,goles_favor,goles_contra
2018,M-2018-01,2018-06-14,Fase de grupos,G,Russia,5.0,
2018,M-2018-02,2018-06-15,Fase de grupos,A,Egypt,0.0,1.0
2018,M-2018-03,2018-06-15,Fase de grupos,G,Morocco,0.0,1.0
2018,M-2018-04,2018-06-15,Fase de grupos,G,Portugal,3.0,3.0
2018,M-2018-05,2018-06-16,Fase de grupos,C,France,2.0,1.0
2018,M-2018-06,2018-06-16,Fase de grupos,G,Argentina,1.0,1.0
2018,M-2018-07,2018-06-16,Fase de grupos,G,Peru,0.0,1.0
2018,M-2018-08,2018-06-16,Fase de grupos,D,Croatia,2.0,0.0
2018,M-2018-09,2018-06-17,Fase de grupos,G,Costa Rica,0.0,1.0
2018,M-2018-10,2018-06-17,Fase de grupos,,Germany,0.0,1.0
2018,M-2018-11,2018-06-17,Fase de grupos,E,Brazil,1.0,1.0
2018,M-2018-12,2018-06-18,Fase de grupos,G,Sweden,1.0,0.0
2018,M-2018-13,2018-06-18,Fase de grupos,G,Belgium,3.0,0.0
2018,M-2018-14,2018-06-18,Fase de grupos,G,Tunisia,1.0,2.0
2018,M-2018-15,2018-06-19,Fase de grupos,G,Colombia,1.0,2.0
2018,M-2018-16,2018-06-19,Fase de grupos,G,Poland,1.0,2.0
2018,M-2018-17,2018-06-19,Fase de grupos,A,Russia,3.0,1.0
2018,M-2018-18,2018-06-20,Fase de grupos,G,Portugal,1.0,0.0
2018,M-2018-19,2018-06-20,Fase de grupos,G,Uruguay,1.0,0.0
2018,M-2018-20,2018-06-20,Fase de grupos,B,Iran,0.0,
2018,M-2018-21,2018-06-21,Fase de grupos,G,Denmark,1.0,1.0
2018,M-2018-22,2018-06-21,Fase de grupos,G,France,1.0,0.0
2018,M-2018-23,2018-06-21,Fase de grupos,D,Argentina,1.0,3.0
2018,M-2018-24,2018-06-22,Fase de grupos,G,Brazil,2.0,0.0
2018,M-2018-25,2018-06-22,Fase de grupos,G,Nigeria,2.0,0.0
2018,M-2018-26,2018-06-22,Fase de grupos,E,Serbia,1.0,2.0
2018,M-2018-27,2018-06-23,Fase de grupos,G,Belgium,5.0,2.0
2018,M-2018-28,2018-06-23,Fase de grupos,G,South Korea,1.0,2.0
2018,M-2018-29,2018-06-23,Fase de grupos,F,Germany,2.0,1.0
2018,M-2018-30,2018-06-24,Fase de grupos,G,England,6.0,1.0
2018,M-2018-31,2018-06-24,Fase de grupos,G,Japan,2.0,2.0
2018,M-2018-32,2018-06-24,Fase de grupos,D,Poland,0.0,3.0
