torneo,id_partido,fase,grupo,jornada,fecha,equipo_local,equipo_visitante,goles_local,goles_visitante,anfitrion_local,estadio,ciudad,fuente
2018,M-2018-01,Fase de grupos,G,1,2018-06-14,Russia,Saudi Arabia,5.0,,True,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-02,Fase de grupos,A,1,2018-06-15,Egypt,Uruguay,0.0,1.0,False,Central Stadium,Yekaterinburg,https://github.com/jfjelstul/worldcup
2018,M-2018-03,Fase de grupos,G,1,2018-06-15,Morocco,Iran,0.0,1.0,False,Krestovsky Stadium,Saint Petersburg,https://github.com/jfjelstul/worldcup
2018,M-2018-04,Fase de grupos,G,1,2018-06-15,Portugal,Spain,3.0,3.0,False,Fisht Olympic Stadium,Sochi,https://github.com/jfjelstul/worldcup
2018,M-2018-05,Fase de grupos,C,1,2018-06-16,France,Australia,2.0,1.0,False,Kazan Arena,Kazan,https://github.com/jfjelstul/worldcup
2018,M-2018-06,Fase de grupos,G,1,2018-06-16,Argentina,Iceland,1.0,1.0,False,Otkritie Arena,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-07,Fase de grupos,G,1,2018-06-16,Peru,Denmark,0.0,1.0,False,Mordovia Arena,Saransk,https://github.com/jfjelstul/worldcup
2018,M-2018-08,Fase de grupos,D,1,2018-06-16,Croatia,Nigeria,2.0,0.0,False,Kaliningrad Stadium,Kaliningrad,https://github.com/jfjelstul/worldcup
2018,M-2018-09,Fase de grupos,G,1,2018-06-17,Costa Rica,Serbia,0.0,1.0,False,Samara Arena,Samara,https://github.com/jfjelstul/worldcup
2018,M-2018-10,Fase de grupos,,1,2018-06-17,Germany,Mexico,0.0,1.0,False,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-11,Fase de grupos,E,1,2018-06-17,Brazil,Switzerland,1.0,1.0,False,Rostov Arena,Rostov-on-Don,https://github.com/jfjelstul/worldcup
2018,M-2018-12,Fase de grupos,G,1,2018-06-18,Sweden,South Korea,1.0,0.0,False,Nizhny Novgorod Stadium,Nizhny Novgorod,https://github.com/jfjelstul/worldcup
2018,M-2018-13,Fase de grupos,G,1,2018-06-18,Belgium,Panama,3.0,0.0,False,Fisht Olympic Stadium,Sochi,https://github.com/jfjelstul/worldcup
2018,M-2018-14,Fase de grupos,G,1,2018-06-18,Tunisia,England,1.0,2.0,False,Volgograd Arena,Volgograd,https://github.com/jfjelstul/worldcup
2018,M-2018-15,Fase de grupos,G,1,2018-06-19,Colombia,Japan,1.0,2.0,False,Mordovia Arena,Saransk,https://github.com/jfjelstul/worldcup
2018,M-2018-16,Fase de grupos,G,1,2018-06-19,Poland,Senegal,1.0,2.0,False,Otkritie Arena,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-17,Fase de grupos,A,2,2018-06-19,Russia,Egypt,3.0,1.0,True,Krestovsky Stadium,Saint Petersburg,https://github.com/jfjelstul/worldcup
2018,M-2018-18,Fase de grupos,G,2,2018-06-20,Portugal,Morocco,1.0,0.0,False,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-19,Fase de grupos,G,2,2018-06-20,Uruguay,Saudi Arabia,1.0,0.0,False,Rostov Arena,Rostov-on-Don,https://github.com/jfjelstul/worldcup
2018,M-2018-20,Fase de grupos,B,2,2018-06-20,Iran,Spain,0.0,,False,Kazan Arena,Kazan,https://github.com/jfjelstul/worldcup
2018,M-2018-21,Fase de grupos,G,2,2018-06-21,Denmark,Australia,1.0,1.0,False,Samara Arena,Samara,https://github.com/jfjelstul/worldcup
2018,M-2018-22,Fase de grupos,G,2,2018-06-21,France,Peru,1.0,0.0,False,Central Stadium,Yekaterinburg,https://github.com/jfjelstul/worldcup
2018,M-2018-23,Fase de grupos,D,2,2018-06-21,Argentina,Croatia,1.0,3.0,False,Nizhny Novgorod Stadium,Nizhny Novgorod,https://github.com/jfjelstul/worldcup
2018,M-2018-24,Fase de grupos,G,2,2018-06-22,Brazil,Costa Rica,2.0,0.0,False,Krestovsky Stadium,Saint Petersburg,https://github.com/jfjelstul/worldcup
2018,M-2018-25,Fase de grupos,G,2,2018-06-22,Nigeria,Iceland,2.0,0.0,False,Volgograd Arena,Volgograd,https://github.com/jfjelstul/worldcup
2018,M-2018-26,Fase de grupos,E,2,2018-06-22,Serbia,Switzerland,1.0,2.0,False,Kaliningrad Stadium,Kaliningrad,https://github.com/jfjelstul/worldcup
2018,M-2018-27,Fase de grupos,G,2,2018-06-23,Belgium,Tunisia,5.0,2.0,False,Otkritie Arena,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-28,Fase de grupos,G,2,2018-06-23,South Korea,Mexico,1.0,2.0,False,Rostov Arena,Rostov-on-Don,https://github.com/jfjelstul/worldcup
2018,M-2018-29,Fase de grupos,F,2,2018-06-23,Germany,Sweden,2.0,1.0,False,Fisht Olympic Stadium,Sochi,https://github.com/jfjelstul/worldcup
2018,M-2018-30,Fase de grupos,G,2,2018-06-24,England,Panama,6.0,1.0,False,Nizhny Novgorod Stadium,Nizhny Novgorod,https://github.com/jfjelstul/worldcup
2018,M-2018-31,Fase de grupos,G,2,2018-06-24,Japan,Senegal,2.0,2.0,False,Central Stadium,Yekaterinburg,https://github.com/jfjelstul/worldcup
2018,M-2018-32,Fase de grupos,D,2,2018-06-24,Poland,Colombia,0.0,3.0,False,Kazan Arena,Kazan,https://github.com/jfjelstul/worldcup
2018,M-2018-33,Fase de grupos,G,3,2018-06-25,Saudi Arabia,Egypt,2.0,1.0,False,Volgograd Arena,Volgograd,https://github.com/jfjelstul/worldcup
2018,M-2018-34,Fase de grupos,G,3,2018-06-25,Uruguay,Russia,3.0,0.0,False,Samara Arena,Samara,https://github.com/jfjelstul/worldcup
2018,M-2018-35,Fase de grupos,B,3,2018-06-25,Spain,Morocco,2.0,2.0,False,Kaliningrad Stadium,Kaliningrad,https://github.com/jfjelstul/worldcup
2018,M-2018-36,Fase de grupos,G,3,2018-06-25,Iran,Portugal,1.0,1.0,False,Mordovia Arena,Saransk,https://github.com/jfjelstul/worldcup
2018,M-2018-37,Fase de grupos,G,3,2018-06-26,Australia,Peru,0.0,2.0,False,Fisht Olympic Stadium,Sochi,https://github.com/jfjelstul/worldcup
2018,M-2018-38,Fase de grupos,C,3,2018-06-26,Denmark,France,0.0,0.0,False,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-39,Fase de grupos,G,3,2018-06-26,Iceland,Croatia,1.0,,False,Rostov Arena,Rostov-on-Don,https://github.com/jfjelstul/worldcup
2018,M-2018-40,Fase de grupos,G,3,2018-06-26,Nigeria,Argentina,1.0,2.0,False,Krestovsky Stadium,Saint Petersburg,https://github.com/jfjelstul/worldcup
2018,M-2018-41,Fase de grupos,F,3,2018-06-27,South Korea,Germany,2.0,0.0,False,Kazan Arena,Kazan,https://github.com/jfjelstul/worldcup
2018,M-2018-42,Fase de grupos,G,3,2018-06-27,Mexico,Sweden,0.0,3.0,False,Central Stadium,Yekaterinburg,https://github.com/jfjelstul/worldcup
2018,M-2018-43,Fase de grupos,G,3,2018-06-27,Serbia,Brazil,0.0,2.0,False,Otkritie Arena,Moscow,https://github.com/jfjelstul/worldcup
2018,M-2018-44,Fase de grupos,E,3,2018-06-27,Switzerland,Costa Rica,2.0,2.0,False,Nizhny Novgorod Stadium,Nizhny Novgorod,https://github.com/jfjelstul/worldcup
2018,M-2018-45,Fase de grupos,G,3,2018-06-28,Japan,Poland,0.0,1.0,False,Volgograd Arena,Volgograd,https://github.com/jfjelstul/worldcup
2018,M-2018-46,Fase de grupos,G,3,2018-06-28,Senegal,Colombia,0.0,1.0,False,Samara Arena,Samara,https://github.com/jfjelstul/worldcup
2018,M-2018-47,Fase de grupos,G,3,2018-06-28,England,Belgium,0.0,1.0,False,Kaliningrad Stadium,Kaliningrad,https://github.com/jfjelstul/worldcup
2018,M-2018-48,Fase de grupos,G,3,2018-06-28,Panama,Tunisia,1.0,2.0,False,Mordovia Arena,Saransk,https://github.com/jfjelstul/worldcup
2018,M-2018-05,Fase de grupos,C,1,2018-06-16,France,Australia,2.0,1.0,False,Kazan Arena,Kazan,https://github.com/jfjelstul/worldcup
2018,M-2018-18,Fase de grupos,G,2,2018-06-20,Portugal,Morocco,1.0,0.0,False,Luzhniki Stadium,Moscow,https://github.com/jfjelstul/worldcup
2022,M-2022-01,Fase de grupos,G,1,2022-11-20,Qatar,Ecuador,,2.0,True,Al Bayt Stadium,Al Khor,https://github.com/jfjelstul/worldcup
2022,M-2022-02,Fase de grupos,B,1,2022-11-21,England,Iran,6.0,2.0,False,Khalifa International Stadium,Al Rayyan,https://github.com/jfjelstul/worldcup
2022,M-2022-03,Fase de grupos,G,1,2022-11-21,Senegal,Netherlands,0.0,2.0,False,Al Thumama Stadium,Doha,https://github.com/jfjelstul/worldcup
