torneo,equipo,partidos_jugados,goles_favor,goles_contra,diferencia_goles,goles_favor_por_partido,pct_goles_favor_sobre_totales
2018,Argentina,3,4.0,5.0,-1.0,1.33,3.23
2018,Australia,3,3.0,7.0,-4.0,1.0,2.42
2018,Belgium,3,9.0,2.0,7.0,3.0,7.26
2018,Brazil,3,5.0,1.0,4.0,1.67,4.03
2018,Colombia,3,5.0,2.0,3.0,1.67,4.03
2018,Costa Rica,3,2.0,5.0,-3.0,0.67,1.61
2018,Croatia,3,5.0,2.0,3.0,1.67,4.03
2018,Denmark,3,2.0,1.0,1.0,0.67,1.61
2018,Egypt,3,2.0,6.0,-4.0,0.67,1.61
2018,England,3,8.0,3.0,5.0,2.67,6.45
2018,France,3,5.0,2.0,3.0,1.67,4.03
2018,Germany,3,2.0,4.0,-2.0,0.67,1.61
2018,Iceland,3,2.0,3.0,-1.0,0.67,1.61
2018,Iran,3,2.0,1.0,1.0,0.67,1.61
2018,Japan,3,4.0,4.0,0.0,1.33,3.23
2018,Mexico,3,3.0,4.0,-1.0,1.0,2.42
2018,Morocco,3,2.0,5.0,-3.0,0.67,1.61
2018,Nigeria,3,3.0,4.0,-1.0,1.0,2.42
2018,Panama,3,2.0,11.0,-9.0,0.67,1.61
2018,Peru,3,2.0,2.0,0.0,0.67,1.61
2018,Poland,3,2.0,5.0,-3.0,0.67,1.61
2018,Portugal,3,6.0,4.0,2.0,2.0,4.84
2018,Russia,3,8.0,4.0,4.0,2.67,6.45
2018,Saudi Arabia,3,2.0,7.0,-5.0,0.67,1.61
2018,Senegal,3,4.0,4.0,0.0,1.33,3.23
2018,Serbia,3,2.0,4.0,-2.0,0.67,1.61
2018,South Korea,3,3.0,3.0,0.0,1.0,2.42
2018,Spain,3,5.0,5.0,0.0,1.67,4.03
2018,Sweden,3,5.0,2.0,3.0,1.67,4.03
2018,Switzerland,3,5.0,4.0,1.0,1.67,4.03
2018,Tunisia,3,5.0,8.0,-3.0,1.67,4.03
2018,Uruguay,3,5.0,0.0,5.0,1.67,4.03
2022,Argentina,3,5.0,2.0,3.0,1.67,4.2
2022,Australia,3,2.0,4.0,-2.0,0.67,1.68
2022,Belgium,3,1.0,2.0,-1.0,0.33,0.84
2022,Brazil,3,3.0,1.0,2.0,1.0,2.52
2022,Cameroon,3,4.0,3.0,1.0,1.33,3.36
2022,Canada,3,2.0,7.0,-5.0,0.67,1.68
2022,Costa Rica,3,3.0,11.0,-8.0,1.0,2.52
2022,Croatia,3,4.0,1.0,3.0,1.33,3.36
2022,Denmark,3,1.0,2.0,-1.0,0.33,0.84
2022,Ecuador,3,4.0,3.0,1.0,1.33,3.36
2022,England,3,9.0,2.0,7.0,3.0,7.56
2022,France,3,6.0,3.0,3.0,2.0,5.04
2022,Germany,3,3.0,5.0,-2.0,1.0,2.52
2022,Ghana,3,5.0,7.0,-2.0,1.67,4.2
2022,Iran,3,4.0,7.0,-3.0,1.33,3.36
2022,Japan,3,4.0,3.0,1.0,1.33,3.36
2022,Mexico,3,2.0,3.0,-1.0,0.67,1.68
2022,Morocco,3,4.0,1.0,3.0,1.33,3.36
2022,Netherlands,3,9.0,1.0,8.0,3.0,7.56
2022,Poland,3,2.0,2.0,0.0,0.67,1.68
2022,Portugal,3,6.0,4.0,2.0,2.0,5.04
2022,Qatar,3,1.0,7.0,-6.0,0.33,0.84
2022,Saudi Arabia,3,3.0,5.0,-2.0,1.0,2.52
2022,Senegal,3,5.0,8.0,-3.0,1.67,4.2
2022,Serbia,3,5.0,8.0,-3.0,1.67,4.2
2022,South Korea,3,4.0,4.0,0.0,1.33,3.36
2022,Spain,3,9.0,0.0,9.0,3.0,7.56
2022,Switzerland,3,3.0,3.0,0.0,1.0,2.52
2022,Tunisia,3,1.0,1.0,0.0,0.33,0.84
